"USD","Q1, 2018","Q2, 2018","Q3, 2018","Q1, 2019","Q2, 2019","Q3, 2019","Q1, 2020","Q2, 2020","Q3, 2020","Q1, 2021","Q2, 2021"
"Revenue","15.4b","14.5b","15.2b","15.3b","14.9b","20.2b","20.9b","16.2b","11.2b","16.2b","14.5b"
"Cost of goods sold","8.7b","7.5b","8.3b","9.0b","8.4b","12.8b","13.0b","11.9b","4.7b","","8.9b"
"Gross profit","6.6b","7.0b","6.9b","6.3b","6.5b","7.4b","7.8b","4.3b","6.5b","","5.6b"
"","","","","","","","","","","",""
"Gross profit Margin, %","43%","48%","45%","41%","44%","37%","38%","26%","58%","","38%"
"General and administrative expense","2.1b","2.2b","2.2b","2.2b","2.3b","3.4b","3.7b","3.4b","2.5b","",""
"Operating expense total","2.8b","3.0b","3.0b","2.9b","3.2b","4.7b","5.0b","4.7b","3.8b","",""
"Depreciation and amortization","742.0m","731.0m","744.0m","732.0m","828.0m","1.3b","1.3b","1.3b","1.4b","",""
"Interest expense","129.0m","143.0m","143.0m","63.0m","143.0m","411.0m","283.0m","300.0m","412.0m","324.0m",""
"","","","","","","","","","","",""
"Investment income","","","","","(312.0m)","(1.0m)","224.0m","135.0m","186.0m","224.0m",""
"Pre tax profit","3.7b","3.9b","3.9b","3.4b","7.2b","2.0b","2.6b","1.1b","(4.8b)","46.0m",""
"Income tax expense","(728.0m)","813.0m","795.0m","645.0m","1.6b","395.0m","459.0m","525.0m","331.0m","16.0m",""
"Net Income","4.5b","3.1b","3.1b","2.8b","5.6b","1.6b","2.1b","520.0m","(4.5b)","18.0m",""
"EPS","","2","1","1.9","3.6","1","1.2","0.3","-2.6","",""
